COMMAND         %CPU %MEM   RSS
bash            40.0  0.0  6144
claude           8.3  2.2 362612
environment-man  0.8  0.2 43588
process_api      0.6  0.0  5256
kworker/u16:2-i  0.3  0.0     0
kworker/u16:0-e  0.2  0.0     0
kworker/u16:1-k  0.2  0.0     0
migration/3      0.2  0.0     0
migration/1      0.2  0.0     0
migration/2      0.2  0.0     0
kworker/3:1-mm_  0.0  0.0     0
sh               0.0  0.0  1920
kworker/2:1-mm_  0.0  0.0     0
kworker/1:1-mm_  0.0  0.0     0
rcu_preempt      0.0  0.0     0
kworker/u16:4-i  0.0  0.0     0
kworker/u16:5-i  0.0  0.0     0
kthreadd         0.0  0.0     0
kworker/0:1-mm_  0.0  0.0     0
kworker/3:1H-kb  0.0  0.0     0
irq/25-ACPI:Ged  0.0  0.0     0
kworker/3:0-mm_  0.0  0.0     0
pool_workqueue_  0.0  0.0     0
kworker/R-rcu_g  0.0  0.0     0
